구별,인구수,공원의수,공원의면적,오차
강남구,544085,7,3626398.5,1.6224615395296755
강동구,462275,7,1526389.3,1.7892253629534682
강북구,313550,4,3714902.4,0.9076093804922785
강서구,589536,9,2194154.1,3.5298129325325505
관악구,514555,2,10431453.08,3.3173436712550135
광진구,361923,2,584002.0,3.0062142751320424
구로구,435751,3,1617657.0,2.156707363455374
금천구,249641,4,57568.0,0.7773354629859686
노원구,529532,3,12235699.3,2.3478732126731554
도봉구,329300,6,1084218.0,1.060285372973988
동대문구,358679,4,458663.7,0.9996016135602686
동작구,404617,7,3706739.0999999996,1.9067570648354994
마포구,383494,5,2685112.6999999997,0.05018521309897306
서대문구,323860,4,3321476.6,0.928625576794678
서초구,429995,6,13359636.0,0.855025830134986
성동구,302695,5,626838.7,0.11451775926160579
성북구,449871,3,1198327.0,2.18548997177641
송파구,676673,7,2838992.8,1.3521904012811259
양천구,460048,5,1203428.5,0.20623505710807954
영등포구,405982,5,424446.0,0.09602538986409037
용산구,244953,2,247194.1,2.7677793108748485
은평구,485842,6,2986459.0,0.7411857219972458
종로구,159842,12,3907680.57,7.4057133645367434
중구,135321,3,2943303.8000000003,1.5443023338598483
중랑구,400989,6,7078975.0,0.9141524828941909
