구별,소계,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율,오차
강남구,1790,138.54489164086687,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,728.9072840291756
강동구,852,252.81899109792283,462275,458058,4217,68798,0.9122275701692715,14.882483370288249,127.92834428756476
강북구,574,159.44444444444446,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,258.3770525311437
강서구,708,132.33644859813086,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,398.18502568083363
관악구,1984,130.95709570957095,514555,498574,15981,78206,3.105790440283352,15.198763980526863,952.2042391178768
광진구,835,356.83760683760687,361923,348064,13859,50047,3.8292675513852394,13.828079453364388,45.368302395883006
구로구,1352,168.1592039800995,435751,405579,30172,69312,6.924137867727211,15.906331827121454,398.3863335577694
금천구,865,119.3103448275862,249641,232157,17484,39361,7.003657251813604,15.767041471553151,96.02759029865035
노원구,564,75.80645161290323,529532,525486,4046,84612,0.7640709154498689,15.97863774049538,482.65456536446254
도봉구,343,136.11111111111111,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,505.00275665058314
동대문구,566,,358679,344416,14263,61408,3.9765361228284903,17.12060087153137,311.1499034013775
동작구,787,118.8821752265861,404617,393554,11063,64674,2.734190604942452,15.984004626597498,135.72536980384166
마포구,926,293.0379746835443,383494,373508,9986,54053,2.603952082692298,14.09487501760132,24.230931663772253
서대문구,886,202.74599542334096,323860,313212,10648,53869,3.287840424874946,16.633421848947076,43.39431194686131
서초구,995,172.44367417677643,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,47.09690834580067
성동구,1428,299.37106918238993,302695,295591,7104,45372,2.346916863509473,14.989345711029253,606.3922819587938
성북구,1316,159.70873786407768,449871,439719,10152,73370,2.256646905446228,16.309119725432403,348.377765801167
송파구,612,222.54545454545456,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,580.6343577351572
양천구,1316,250.19011406844106,460048,456240,3808,64804,0.8277397141167878,14.086356206308906,338.28108066951404
영등포구,1453,184.15716096324462,405982,375630,30352,60826,7.476193525821342,14.982437645018745,528.920402505807
용산구,222,54.146341463414636,244953,229786,15167,39995,6.191800059603271,16.32762203361461,542.321406468846
은평구,892,143.40836012861737,485842,481546,4296,84353,0.8842380856327778,17.362228872761104,111.30935819123647
종로구,530,57.2354211663067,159842,149952,9890,28396,6.187360018017793,17.765042979942695,149.88208562379134
중구,915,208.4282460136674,135321,125800,9521,24265,7.035862874202821,17.93143710141072,259.44539950082924
중랑구,196,,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,723.1260012612812
